id_grupo_tema_interes,id_tema_interes
5d030e78-dfae-4678-bba2-417512e9b41f,f51cb5cf-6196-4da3-a129-927ffe78570e
08c39ac6-ee47-4b45-b593-deddd1a57e08,ba6913e5-ee84-468a-b2f3-f6528651efe3
08c39ac6-ee47-4b45-b593-deddd1a57e08,b8ccd884-5487-4b89-9543-de34b1d320e4
7ba0100c-846e-4ffb-ae7b-17807102ca4a,06bd2fb6-b42d-4171-b68b-d80246c672cc
7ba0100c-846e-4ffb-ae7b-17807102ca4a,ba6913e5-ee84-468a-b2f3-f6528651efe3
852d2d70-5127-4d8c-b060-9d82e2a5b003,06bd2fb6-b42d-4171-b68b-d80246c672cc
852d2d70-5127-4d8c-b060-9d82e2a5b003,ba6913e5-ee84-468a-b2f3-f6528651efe3
db93c12b-9beb-460f-9a8b-524515be360a,06bd2fb6-b42d-4171-b68b-d80246c672cc
db93c12b-9beb-460f-9a8b-524515be360a,ba6913e5-ee84-468a-b2f3-f6528651efe3
82977be5-af33-4a7b-a5f5-f3f9f30ff35f,06bd2fb6-b42d-4171-b68b-d80246c672cc
2553b85a-4d54-4bd4-a81a-f50f92fa017c,06bd2fb6-b42d-4171-b68b-d80246c672cc
0af01704-cf5e-4fd0-a6b2-2520098f65a7,06bd2fb6-b42d-4171-b68b-d80246c672cc
0af01704-cf5e-4fd0-a6b2-2520098f65a7,ba6913e5-ee84-468a-b2f3-f6528651efe3
6e8874e6-cfa3-44d2-a73c-4204e903b96e,06bd2fb6-b42d-4171-b68b-d80246c672cc
6e8874e6-cfa3-44d2-a73c-4204e903b96e,ba6913e5-ee84-468a-b2f3-f6528651efe3
843ffb21-3035-4633-9998-134103acc6c9,06bd2fb6-b42d-4171-b68b-d80246c672cc
843ffb21-3035-4633-9998-134103acc6c9,ba6913e5-ee84-468a-b2f3-f6528651efe3
c9cfd8ac-87da-4354-a69f-95e2bbba41ad,06bd2fb6-b42d-4171-b68b-d80246c672cc
